Date,Actual_price,Forecasted_Price
1999-03-11 00:00:00,0.73,0.57
1999-03-12 00:00:00,0.73,0.57
1999-03-15 00:00:00,0.66,0.58
1999-03-16 00:00:00,0.66,0.59
1999-03-17 00:00:00,0.66,0.59
1999-03-18 00:00:00,0.67,0.59
1999-03-19 00:00:00,0.66,0.6
1999-03-22 00:00:00,0.66,0.61
1999-03-23 00:00:00,0.63,0.62
1999-03-24 00:00:00,0.64,0.62
1999-03-25 00:00:00,0.66,0.63
1999-03-26 00:00:00,0.71,0.63
1999-03-29 00:00:00,0.72,0.64
1999-03-30 00:00:00,0.71,0.65
1999-03-31 00:00:00,0.67,0.65
1999-04-01 00:00:00,0.65,0.65
1999-04-05 00:00:00,0.68,0.67
1999-04-06 00:00:00,0.65,0.67
1999-04-07 00:00:00,0.67,0.67
1999-04-08 00:00:00,0.7,0.67
1999-04-09 00:00:00,0.69,0.68
1999-04-12 00:00:00,0.68,0.68
1999-04-13 00:00:00,0.65,0.69
1999-04-14 00:00:00,0.65,0.69
1999-04-15 00:00:00,0.65,0.69
1999-04-16 00:00:00,0.68,0.69
1999-04-19 00:00:00,0.66,0.7
1999-04-20 00:00:00,0.63,0.71
1999-04-21 00:00:00,0.62,0.71
1999-04-22 00:00:00,0.68,0.72
1999-04-23 00:00:00,0.67,0.72
1999-04-26 00:00:00,0.66,0.73
1999-04-27 00:00:00,0.62,0.74
1999-04-28 00:00:00,0.62,0.74
1999-04-29 00:00:00,0.63,0.75
1999-04-30 00:00:00,0.65,0.75
1999-05-03 00:00:00,0.66,0.77
1999-05-04 00:00:00,0.65,0.77
1999-05-05 00:00:00,0.66,0.78
1999-05-06 00:00:00,0.67,0.78
1999-05-07 00:00:00,0.69,0.79
1999-05-10 00:00:00,0.67,0.8
1999-05-11 00:00:00,0.67,0.81
1999-05-12 00:00:00,0.67,0.81
1999-05-13 00:00:00,0.69,0.82
1999-05-14 00:00:00,0.68,0.82
1999-05-17 00:00:00,0.68,0.84
1999-05-18 00:00:00,0.66,0.84
1999-05-19 00:00:00,0.67,0.85
1999-05-20 00:00:00,0.71,0.86
1999-05-21 00:00:00,0.72,0.86
1999-05-24 00:00:00,0.74,0.88
1999-05-25 00:00:00,0.78,0.89
1999-05-26 00:00:00,0.79,0.89
1999-05-27 00:00:00,0.77,0.9
1999-05-28 00:00:00,0.78,0.91
1999-06-01 00:00:00,0.78,0.94
1999-06-02 00:00:00,0.78,0.94
1999-06-03 00:00:00,0.77,0.95
1999-06-04 00:00:00,0.78,0.96
1999-06-07 00:00:00,0.81,0.99
1999-06-08 00:00:00,0.88,0.99
1999-06-09 00:00:00,0.77,1.0
1999-06-10 00:00:00,0.83,1.01
1999-06-11 00:00:00,0.83,1.02
1999-06-14 00:00:00,0.84,1.04
1999-06-15 00:00:00,0.81,1.05
1999-06-16 00:00:00,0.84,1.06
1999-06-17 00:00:00,0.87,1.07
1999-06-18 00:00:00,0.94,1.08
1999-06-21 00:00:00,0.93,1.1
1999-06-22 00:00:00,0.87,1.1
1999-06-23 00:00:00,0.92,1.11
1999-06-24 00:00:00,0.91,1.12
1999-06-25 00:00:00,0.93,1.13
1999-06-28 00:00:00,0.91,1.15
1999-06-29 00:00:00,0.91,1.16
1999-06-30 00:00:00,0.91,1.17
1999-07-01 00:00:00,0.91,1.18
1999-07-02 00:00:00,0.9,1.18
1999-07-06 00:00:00,0.92,1.22
1999-07-07 00:00:00,0.93,1.23
1999-07-08 00:00:00,1.03,1.24
1999-07-09 00:00:00,1.06,1.25
1999-07-12 00:00:00,1.11,1.28
1999-07-13 00:00:00,1.19,1.29
1999-07-14 00:00:00,1.36,1.3
1999-07-15 00:00:00,1.53,1.31
1999-07-16 00:00:00,1.73,1.32
1999-07-19 00:00:00,1.43,1.35
1999-07-20 00:00:00,1.34,1.36
1999-07-21 00:00:00,1.16,1.37
